gene_symbol,cortical plate,intermediate zone,marginal zone,subpial granular zone,subplate zone,subventricular zone,ventricular zone
ACRBP,3941,3085,6683,18638,4562,12839,15935
ACRC,4733,19991,16118,11676,3594,12579,7841
ACRV1,18819,10533,13159,8394,19860,1427,3014
ACSBG1,4345,12047,7232,5903,8374,20738,12293
ACSBG2,18180,18214,17337,5216,7095,6205,4282
ACSF2,133,16771,8136,16192,3439,17560,15141
ACSF3,8653,2616,2338,12954,1396,15299,20605
ACSL1,19001,11405,17955,5846,16154,3224,2800
ACSL3,14818,18786,14839,7919,17840,601,3760
ACSL4,15652,15609,17528,13707,16829,1046,221
ACSL5,316,16749,17323,18002,7507,11739,8177
ACSL6,11244,8971,10601,2623,16266,15439,10337
ACSM1,8319,1967,243,14165,11375,16958,17225
ACSM2A,14525,10628,13380,1877,10626,12137,12621
ACSM2B,13091,9831,12915,14097,15275,4729,4612
ACSM3,10694,376,9089,8321,1531,19298,18113
ACSM4,14254,15497,7518,11375,12410,6459,7593
ACSM5,1234,17096,6640,16128,8630,14504,12999
ACSS1,284,11295,8223,17896,1798,17662,15980
ACSS2,13764,8676,9668,7454,524,19966,11106
ACSS3,1547,4390,4146,17628,2340,18426,17936
ACTA1,8252,19482,9503,15619,19654,4684,278
ACTA2,936,15515,9924,20345,5715,7796,10201
ACTB,14729,16348,8692,2995,5710,13394,12898
ACTBL2,14290,2758,17600,2504,7564,15325,12325
ACTC1,2368,5985,13818,9894,1248,17407,19936
ACTG1,14915,963,3191,7287,6883,14622,18829
ACTG1P4,16697,1864,12020,1143,8536,16152,15295
ACTG2,3571,10762,12232,20660,5438,4334,7939
ACTL10,20378,10292,9557,561,14105,10853,10527
ACTL6A,3194,10632,7003,7994,1800,19657,19337
ACTL6B,18549,14858,15241,5072,16541,5188,2346
ACTL7A,9451,17367,20030,14070,2459,5749,4269
ACTL7B,12867,19157,14717,389,17522,9077,6871
ACTL8,17567,5355,10479,7384,16395,7140,8582
ACTL9,20002,11094,988,6494,17024,7884,10102
ACTN1,3639,9977,1370,14318,1486,18368,19552
ACTN2,19461,11169,18207,7715,17432,898,2202
ACTN3,20692,2237,8905,11531,10803,4092,10260
ACTN4,1722,17967,602,17453,4538,14423,16693
ACTR10,20060,6729,5591,5725,20223,4423,6920
ACTR1A,19532,11352,15806,4372,16328,5686,3346
ACTR1B,16426,6693,5561,259,15097,15655,14717
ACTR2,7170,11144,5897,18858,4565,9491,11314
ACTR3,19493,10519,15023,2445,14467,6561,7526
ACTR3B,19025,11057,14117,446,18380,7285,8125
ACTR3BP2,19356,4237,10459,273,16472,11368,13238
ACTR3C,17913,1168,5714,7750,18408,5033,13941
ACTR5,13221,1961,3157,4852,6495,19430,16829
ACTR6,7668,12301,5173,819,14259,19091,15385
ACTR8,6059,3395,9231,13161,2386,18809,15364
ACTRT1,16806,3809,5152,15512,14460,5225,8610
ACTRT2,16147,6699,7259,786,16585,16157,11143
ACTRT3,14626,2674,3582,19017,13870,2769,8754
ACVR1,8351,363,4960,17680,905,15426,17915
